日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,2.71,2.7,2.73,2.65,2404581.0,0,0.0,0.0,0.0,0
2026-08-28,2.69,2.79,2.8,2.67,3042895.0,0,4.81481481481481,3.3333333333333277,0.08999999999999986,0
2026-08-31,2.75,2.65,2.75,2.57,3598437.0,0,6.451612903225811,-5.01792114695341,-0.14000000000000012,0
2026-09-01,2.64,2.71,2.73,2.62,3057485.0,0,4.150943396226411,2.264150943396228,0.06000000000000005,0
2026-09-02,2.71,2.64,2.72,2.62,1900233.0,0,3.690036900369007,-2.583025830258297,-0.06999999999999984,0
2026-09-03,2.64,2.53,2.66,2.51,3110565.0,0,5.681818181818195,-4.1666666666666785,-0.11000000000000032,0
2026-09-04,2.54,2.53,2.63,2.51,2676774.0,0,4.743083003952574,0.0,0.0,0
