日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,11.74,12.43,12.59,11.7,1816432.0,0,0.0,0.0,0.0,0
2026-08-28,12.32,12.33,12.98,12.23,1577888.0,0,6.033789219629928,-0.8045052292839874,-0.09999999999999964,0
2026-08-31,12.09,12.79,12.84,12.07,1476434.0,0,6.244931062449307,3.7307380373073724,0.4599999999999991,0
2026-09-01,12.73,12.27,12.73,12.26,1322883.0,0,3.674745895230654,-4.065676309616885,-0.5199999999999996,0
2026-09-02,12.13,12.06,12.2,11.9,1014401.0,0,2.444987775061116,-1.7114914425427799,-0.20999999999999908,0
2026-09-03,12.16,12.62,12.92,11.97,2045829.0,0,7.8772802653399605,4.643449419568812,0.5599999999999987,0
2026-09-04,12.84,13.09,13.88,12.84,4144114.0,0,8.240887480190182,3.724247226624411,0.47000000000000064,0
