日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,10.99,11.11,11.23,10.98,18197.0,0,0.0,0.0,0.0,0
2026-08-28,11.1,12.22,12.22,11.05,97633.0,0,10.531053105310532,9.990999099910002,1.1100000000000012,0
2026-08-31,12.1,11.42,12.1,11.36,133613.0,0,6.055646481178398,-6.546644844517191,-0.8000000000000007,0
2026-09-01,11.5,11.72,11.79,11.37,78914.0,0,3.6777583187390537,2.626970227670759,0.3000000000000007,0
2026-09-02,11.65,11.77,11.9,11.58,56439.0,0,2.7303754266211624,0.42662116040954723,0.049999999999998934,0
2026-09-03,11.79,11.82,11.99,11.65,60736.0,0,2.888700084961766,0.4248088360237954,0.05000000000000071,0
2026-09-04,11.87,12.66,12.8,11.72,93280.0,0,9.137055837563453,7.106598984771573,0.8399999999999999,0
2026-09-07,12.66,12.5,13.2,12.3,71235.0,0,0.0,0.0,0.0,0
