日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,24.75,25.25,25.34,24.61,330406.0,0,0.0,0.0,0.0,0
2026-08-28,25.27,25.13,25.78,25.1,311202.0,0,2.693069306930692,-0.4752475247524792,-0.120000000000001,0
2026-08-31,24.51,25.48,25.57,24.5,291729.0,0,4.257859132510944,1.3927576601671365,0.3500000000000014,0
2026-09-01,25.3,25.3,25.62,25.15,255226.0,0,1.8445839874411396,-0.7064364207221339,-0.17999999999999972,0
2026-09-02,24.8,24.83,25.2,24.7,213735.0,0,1.9762845849802373,-1.8577075098814324,-0.4700000000000024,0
2026-09-03,25.1,24.94,25.26,24.5,244002.0,0,3.060813532017727,0.4430124848973137,0.11000000000000298,0
2026-09-04,25.14,24.72,25.45,24.61,274893.0,0,3.3680834001603843,-0.8821170809943962,-0.22000000000000242,0
