日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,52.1,54.8,54.89,52.1,551069.0,0,0.0,0.0,0.0,0
2026-08-28,54.79,54.59,55.9,53.86,478838.0,0,3.7226277372262757,-0.3832116788321054,-0.20999999999999375,0
2026-08-31,52.82,53.92,54.05,52.18,421311.0,0,3.425535812419852,-1.227331013006048,-0.6700000000000017,0
2026-09-01,53.53,51.68,54.26,51.68,453708.0,0,4.7848664688427265,-4.1543026706231485,-2.240000000000002,0
2026-09-02,50.66,50.0,50.7,49.5,369483.0,0,2.3219814241486123,-3.250773993808049,-1.6799999999999997,0
2026-09-03,50.58,50.63,50.78,49.68,283179.0,0,2.200000000000003,1.2600000000000051,0.6300000000000026,0
2026-09-04,51.1,48.79,51.27,48.5,365678.0,0,5.471064586213713,-3.63420896701561,-1.8400000000000034,0
2026-09-07,49.58,50.3,50.58,49.22,337092.52,0,0.0,0.0,0.0,0
