日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,11.1,11.23,11.3,11.01,154580.0,0,0.0,0.0,0.0,0
2026-08-28,11.09,11.1,11.19,11.0,218761.0,0,1.69189670525378,-1.157613535173649,-0.13000000000000078,0
2026-08-31,11.17,11.08,11.17,10.96,110642.0,0,1.8918918918918837,-0.18018018018017634,-0.019999999999999574,0
2026-09-01,11.05,12.19,12.19,11.01,685153.0,0,10.649819494584834,10.01805054151624,1.1099999999999994,0
2026-09-02,12.5,13.41,13.41,12.5,650136.0,0,7.465135356849878,10.008203445447093,1.2200000000000006,0
2026-09-03,14.6,13.56,14.6,13.39,1957545.0,0,9.023117076808344,1.118568232662195,0.15000000000000036,0
2026-09-04,13.4,13.66,14.25,13.32,1575701.0,0,6.858407079646016,0.7374631268436552,0.09999999999999964,0
