日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-08-27,92.98,96.74,97.0,90.2,427904.0,0,0.0,0.0,0.0,0
2026-08-28,96.99,93.9,98.89,93.9,326400.0,0,5.158155881744878,-2.93570394872854,-2.839999999999989,0
2026-08-31,90.0,96.49,97.18,90.0,301448.0,0,7.646432374866887,2.7582534611288487,2.589999999999989,0
2026-09-01,96.49,89.3,96.49,87.5,408415.0,0,9.317027671261267,-7.451549383355786,-7.189999999999998,0
2026-09-02,88.21,88.81,90.46,87.5,228076.0,0,3.314669652855536,-0.5487122060470268,-0.4899999999999949,0
2026-09-03,90.4,88.42,90.56,85.6,274685.0,0,5.58495664902602,-0.4391397365161588,-0.39000000000000057,0
2026-09-04,91.45,96.34,97.26,90.8,777301.0,0,7.306039357611409,8.957249491065372,7.920000000000002,0
